"REF_DATE","GEO","DGUID","New housing price indexes","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2025-01","Prairie Region","2016A00014","Land only","Index, 201612=100","347","units","0","v111955525","28.3","109.3","E","","","1"
"2025-02","Prairie Region","2016A00014","Land only","Index, 201612=100","347","units","0","v111955525","28.3","109.4","E","","","1"
"2025-03","Prairie Region","2016A00014","Land only","Index, 201612=100","347","units","0","v111955525","28.3","109.5","E","","","1"
"2025-04","Prairie Region","2016A00014","Land only","Index, 201612=100","347","units","0","v111955525","28.3","109.3","E","","","1"
"2025-05","Prairie Region","2016A00014","Land only","Index, 201612=100","347","units","0","v111955525","28.3","109.5","E","","","1"
"2025-06","Prairie Region","2016A00014","Land only","Index, 201612=100","347","units","0","v111955525","28.3","109.5","E","","","1"
"2025-07","Prairie Region","2016A00014","Land only","Index, 201612=100","347","units","0","v111955525","28.3","110.4","E","","","1"
"2025-08","Prairie Region","2016A00014","Land only","Index, 201612=100","347","units","0","v111955525","28.3","110.3","E","","","1"
"2025-09","Prairie Region","2016A00014","Land only","Index, 201612=100","347","units","0","v111955525","28.3","110.3","E","","","1"
"2025-10","Prairie Region","2016A00014","Land only","Index, 201612=100","347","units","0","v111955525","28.3","110.3","E","","","1"
"2025-11","Prairie Region","2016A00014","Land only","Index, 201612=100","347","units","0","v111955525","28.3","110.3","E","","","1"
"2025-12","Prairie Region","2016A00014","Land only","Index, 201612=100","347","units","0","v111955525","28.3","110.3","E","","","1"
"2025-01","British Columbia","2016A000259","Total (house and land)","Index, 201612=100","347","units","0","v111955550","37.1","126.7","","","","1"
"2025-02","British Columbia","2016A000259","Total (house and land)","Index, 201612=100","347","units","0","v111955550","37.1","126.8","","","","1"
"2025-03","British Columbia","2016A000259","Total (house and land)","Index, 201612=100","347","units","0","v111955550","37.1","126.9","","","","1"
"2025-04","British Columbia","2016A000259","Total (house and land)","Index, 201612=100","347","units","0","v111955550","37.1","126.8","","","","1"
"2025-05","British Columbia","2016A000259","Total (house and land)","Index, 201612=100","347","units","0","v111955550","37.1","126.3","","","","1"
"2025-06","British Columbia","2016A000259","Total (house and land)","Index, 201612=100","347","units","0","v111955550","37.1","126.1","","","","1"
"2025-07","British Columbia","2016A000259","Total (house and land)","Index, 201612=100","347","units","0","v111955550","37.1","126.0","","","","1"
