"REF_DATE","GEO","DGUID","Age group","Sex","Indicators","Characteristics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020","Prince Edward Island","2016A000211","Total, 12 years and over","Both sexes","Sense of belonging to local community, somewhat strong or very strong","Number of persons","Number","223","units","0","v110794249","3.1.1.23.1","104300","","","","0"
"2019","Prince Edward Island","2016A000211","Total, 12 years and over","Both sexes","Life satisfaction, satisfied or very satisfied","Number of persons","Number","223","units","0","v110794256","3.1.1.24.1","122000","","","","0"
"2020","Prince Edward Island","2016A000211","Total, 12 years and over","Both sexes","Life satisfaction, satisfied or very satisfied","Number of persons","Number","223","units","0","v110794256","3.1.1.24.1","129100","","","","0"
"2019","Prince Edward Island","2016A000211","Total, 12 years and over","Both sexes","Has a regular healthcare provider","Number of persons","Number","223","units","0","v110794263","3.1.1.25.1","112900","","","","0"
"2020","Prince Edward Island","2016A000211","Total, 12 years and over","Both sexes","Has a regular healthcare provider","Number of persons","Number","223","units","0","v110794263","3.1.1.25.1","112300","","","","0"
"2019","Prince Edward Island","2016A000211","Total, 12 years and over","Both sexes","Contact with a medical doctor in the past 12 months","Number of persons","Number","223","units","0","v110794270","3.1.1.26.1","","..","","","0"
"2020","Prince Edward Island","2016A000211","Total, 12 years and over","Both sexes","Contact with a medical doctor in the past 12 months","Number of persons","Number","223","units","0","v110794270","3.1.1.26.1","","..","","","0"
"2019","Prince Edward Island","2016A000211","Total, 12 years and over","Both sexes","Influenza immunization in the past 12 months","Number of persons","Number","223","units","0","v123340899","3.1.1.27.1","54900","","","","0"
"2020","Prince Edward Island","2016A000211","Total, 12 years and over","Both sexes","Influenza immunization in the past 12 months","Number of persons","Number","223","units","0","v123340899","3.1.1.27.1","75100","","","","0"
"2019","Nova Scotia","2016A000212","Total, 12 years and over","Both sexes","Perceived health, very good or excellent","Number of persons","Number","223","units","0","v110797371","4.1.1.1.1","464600","","","","0"
"2020","Nova Scotia","2016A000212","Total, 12 years and over","Both sexes","Perceived health, very good or excellent","Number of persons","Number","223","units","0","v110797371","4.1.1.1.1","519000","","","","0"
"2019","Nova Scotia","2016A000212","Total, 12 years and over","Both sexes","Perceived health, fair or poor","Number of persons","Number","223","units","0","v110797378","4.1.1.2.1","123100","","","","0"
"2020","Nova Scotia","2016A000212","Total, 12 years and over","Both sexes","Perceived health, fair or poor","Number of persons","Number","223","units","0","v110797378","4.1.1.2.1","129400","","","","0"
"2019","Nova Scotia","2016A000212","Total, 12 years and over","Both sexes","Perceived mental health, very good or excellent","Number of persons","Number","223","units","0","v110797385","4.1.1.3.1","499400","","","","0"
"2020","Nova Scotia","2016A000212","Total, 12 years and over","Both sexes","Perceived mental health, very good or excellent","Number of persons","Number","223","units","0","v110797385","4.1.1.3.1","533400","","","","0"
"2019","Nova Scotia","2016A000212","Total, 12 years and over","Both sexes","Perceived mental health, fair or poor","Number of persons","Number","223","units","0","v110797392","4.1.1.4.1","102000","","","","0"
"2020","Nova Scotia","2016A000212","Total, 12 years and over","Both sexes","Perceived mental health, fair or poor","Number of persons","Number","223","units","0","v110797392","4.1.1.4.1","102000","","","","0"
"2019","Nova Scotia","2016A000212","Total, 12 years and over","Both sexes","Perceived life stress, most days quite a bit or extremely stressful","Number of persons","Number","223","units","0","v110797399","4.1.1.5.1","154100","","","","0"
"2020","Nova Scotia","2016A000212","Total, 12 years and over","Both sexes","Perceived life stress, most days quite a bit or extremely stressful","Number of persons","Number","223","units","0","v110797399","4.1.1.5.1","158800","","","","0"
"2019","Nova Scotia","2016A000212","Total, 12 years and over","Both sexes","Body mass index, adjusted self-reported, adult (18 years and over), overweight","Number of persons","Number","223","units","0","v110797406","4.1.1.6.1","259600","","","","0"
"2020","Nova Scotia","2016A000212","Total, 12 years and over","Both sexes","Body mass index, adjusted self-reported, adult (18 years and over), overweight","Number of persons","Number","223","units","0","v110797406","4.1.1.6.1","269400","","","","0"
"2019","Nova Scotia","2016A000212","Total, 12 years and over","Both sexes","Body mass index, adjusted self-reported, adult (18 years and over), obese","Number of persons","Number","223","units","0","v110797413","4.1.1.7.1","243700","","","","0"
"2020","Nova Scotia","2016A000212","Total, 12 years and over","Both sexes","Body mass index, adjusted self-reported, adult (18 years and over), obese","Number of persons","Number","223","units","0","v110797413","4.1.1.7.1","260400","","","","0"
"2019","Nova Scotia","2016A000212","Total, 12 years and over","Both sexes","Body mass index, self-reported, youth (12 to 17 years old), overweight or obese","Number of persons","Number","223","units","0","v110797420","4.1.1.8.1","16200","","","","0"
"2020","Nova Scotia","2016A000212","Total, 12 years and over","Both sexes","Body mass index, self-reported, youth (12 to 17 years old), overweight or obese","Number of persons","Number","223","units","0","v110797420","4.1.1.8.1","10100","E","","","0"
"2019","Nova Scotia","2016A000212","Total, 12 years and over","Both sexes","Arthritis (15 years and over)","Number of persons","Number","223","units","0","v110797427","4.1.1.9.1","217800","","","","0"
"2020","Nova Scotia","2016A000212","Total, 12 years and over","Both sexes","Arthritis (15 years and over)","Number of persons","Number","223","units","0","v110797427","4.1.1.9.1","212200","","","","0"
"2019","Nova Scotia","2016A000212","Total, 12 years and over","Both sexes","Diabetes","Number of persons","Number","223","units","0","v110797434","4.1.1.10.1","66300","","","","0"
"2020","Nova Scotia","2016A000212","Total, 12 years and over","Both sexes","Diabetes","Number of persons","Number","223","units","0","v110797434","4.1.1.10.1","81700","","","","0"
"2019","Nova Scotia","2016A000212","Total, 12 years and over","Both sexes","Asthma","Number of persons","Number","223","units","0","v110797441","4.1.1.11.1","68800","","","","0"
"2020","Nova Scotia","2016A000212","Total, 12 years and over","Both sexes","Asthma","Number of persons","Number","223","units","0","v110797441","4.1.1.11.1","101800","","","","0"
"2019","Nova Scotia","2016A000212","Total, 12 years and over","Both sexes","Chronic obstructive pulmonary disease (COPD; 35 years and over)","Number of persons","Number","223","units","0","v110797448","4.1.1.12.1","41300","","","","0"
"2020","Nova Scotia","2016A000212","Total, 12 years and over","Both sexes","Chronic obstructive pulmonary disease (COPD; 35 years and over)","Number of persons","Number","223","units","0","v110797448","4.1.1.12.1","44400","","","","0"
"2019","Nova Scotia","2016A000212","Total, 12 years and over","Both sexes","High blood pressure","Number of persons","Number","223","units","0","v110797455","4.1.1.13.1","174300","","","","0"
"2020","Nova Scotia","2016A000212","Total, 12 years and over","Both sexes","High blood pressure","Number of persons","Number","223","units","0","v110797455","4.1.1.13.1","173400","","","","0"
"2019","Nova Scotia","2016A000212","Total, 12 years and over","Both sexes","Mood disorder","Number of persons","Number","223","units","0","v110797462","4.1.1.14.1","109000","","","","0"
"2020","Nova Scotia","2016A000212","Total, 12 years and over","Both sexes","Mood disorder","Number of persons","Number","223","units","0","v110797462","4.1.1.14.1","136600","","","","0"
"2019","Nova Scotia","2016A000212","Total, 12 years and over","Both sexes","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v110797469","4.1.1.15.1","152100","","","","0"
"2020","Nova Scotia","2016A000212","Total, 12 years and over","Both sexes","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v110797469","4.1.1.15.1","111200","","","","0"
"2019","Nova Scotia","2016A000212","Total, 12 years and over","Both sexes","Current smoker, daily","Number of persons","Number","223","units","0","v110797476","4.1.1.16.1","110700","","","","0"
